ListPosition,DocMgmtId,URL,HTTP,Result,SavedFile,OriginalName,DocDate,Bytes,SHA256,Error
57,-8365213610442199787,https://mienviro.michigan.gov/ncore/downloadpdf/-8365213610442199787,200,VERIFIED_IDENTICAL,0057_2013-11-13_Cadillac WWTP Email Exchange 9-3-13.pdf,Cadillac WWTP Email Exchange 9-3-13.pdf,2013-11-13,25019,80c6d43d0c24bc36d4803d280d938baeb8af71bcd3374b76dfe058fdbc23ff74,
58,423116088479995591,https://mienviro.michigan.gov/ncore/downloadpdf/423116088479995591,200,VERIFIED_IDENTICAL,0058_2013-11-13_Cadillac WWTP Email Response 9-25-13.pdf,Cadillac WWTP Email Response 9-25-13.pdf,2013-11-13,91446,88b2bdcfdf70ffcb6e17aefde364c9527c370b2ba3c309ddedf0fa51f18c17db,
59,-1880339282009717938,https://mienviro.michigan.gov/ncore/downloadpdf/-1880339282009717938,200,VERIFIED_IDENTICAL,0059_2013-11-13_Cadillac WWTP Emails about meeting 8-29-13.pdf,Cadillac WWTP Emails about meeting 8-29-13.pdf,2013-11-13,99949,09686947fac2b0f03c79d6da9e39617e631f32fff06cd6e091a381a6124999de,
60,8202189061190805836,https://mienviro.michigan.gov/ncore/downloadpdf/8202189061190805836,200,VERIFIED_IDENTICAL,0060_2013-11-19_Compliance Communication.pdf,Compliance Communication.doc,2013-11-19,90610,4d19cb29640edf81170d88d97038c0647a69711c39641c4947a3083f956c9357,
61,8183547368058181207,https://mienviro.michigan.gov/ncore/downloadpdf/8183547368058181207,200,VERIFIED_IDENTICAL,0061_2014-03-31_Cadillac PMP.pdf,Cadillac PMP.pdf,2014-03-31,1236286,6435087244ffdea17f2d47d1f75752c7d37f4e20d01b9d232ce7208e7aca3f15,
62,1301191744469019931,https://mienviro.michigan.gov/ncore/downloadpdf/1301191744469019931,200,VERIFIED_IDENTICAL,0062_2014-07-07_RMP Modification Request-July 2014.pdf,RMP Modification Request-July 2014.pdf,2014-07-07,4892693,6122ca0b2070135cea0f075ef0297ef9c01433c357c277654ede57e099fbcad0,
63,396256187984330582,https://mienviro.michigan.gov/ncore/downloadpdf/396256187984330582,200,VERIFIED_IDENTICAL,0063_2014-07-10_RMP Modification Approval Letter-2014.pdf,RMP Modification Approval Letter-2014.pdf,2014-07-10,1016936,58726d5ded983e4c121620db2bebe9dcd5e155f67f0c6ba44043052bce693bee,
64,8152724494912613868,https://mienviro.michigan.gov/ncore/downloadpdf/8152724494912613868,200,VERIFIED_IDENTICAL,0064_2014-08-04_Sampling Field Sheet.pdf,Sampling Field Sheet.doc,2014-08-04,110954,d305e2d7e23c928806b2d153e240f5f61c08c57552af22c918e4000468e4949b,
65,2417529640713035099,https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099,200,VERIFIED_IDENTICAL,0065_2014-08-18_2014_0818_Cadillac WWTP_DMR QA-34.pdf,2014_0818_Cadillac WWTP_DMR QA-34.pdf,2014-08-18,1059234,32bc7f72220a9676e1cc2883346c6d97df624082d33fb1c61aae28f10feea949,
66,6169276037386673226,https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226,200,VERIFIED_IDENTICAL,0066_2014-09-03_Cadillac surface application 2014-2.pdf,Cadillac surface application 2014-2.jpg,2014-09-03,122806,9b7cfa8b133477dab610c76374f6e2974d412d84e4b7178563e07cf223038a5f,
