ViolRefViolCatgDescr,ViolRefViolTypeDescr,ViolRefViolStatDescr,ViolNonCmplStartDate,ViolViolNotifCmnts,ViolDescr,EvalEvalNum,EvalRefEvalTypeDescr
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/6/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/3/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/2/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"6/1/2011 12:00:00 AM",,WRD - NPDES,E-1728-36-4D53,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Reviewed/Evaluated,"11/30/2010 12:00:00 AM","cbod5 > max daily limit of 10 mg/l, value of 10.4 on 11/30/2010, JB.",WRD - NPDES,E-BE32-AE-7588,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/22/2010 12:00:00 AM",,WRD - NPDES,E-9C8A-A6-9DAA,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/21/2010 12:00:00 AM",,WRD - NPDES,E-9C8A-A6-9DAA,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"8/20/2010 12:00:00 AM",,WRD - NPDES,E-9C8A-A6-9DAA,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/9/2010 12:00:00 AM",,WRD - NPDES,E-BB5B-62-ABBB,DMR Violation Evaluation (Converted) - NPDES
Effluent Concentration/Loading,Violating concentration minimum limit (Permit),Active – Not Reviewed,"4/15/2010 12:00:00 AM",,WRD - NPDES,E-77EB-2A-2FA9,DMR Violation Evaluation (Converted) - NPDES
Effluent Limits,Exceeding concentration maximum limit (Permit),Active – Not Reviewed,"7/3/2009 12:00:00 AM",,WRD - NPDES,E-51C6-52-3954,DMR Violation Evaluation (Converted) - NPDES
