Document Date,Year,Document Name,Description,Document Class,Priority,Legacy / Hidden Retrieval Flags,MiEnviro Category,Program Area,Functional Area,Source Number,Source Type,Document Mgmt ID,MiEnviro Deep Link,Review / Recovery Status
2013-11-13,2013,Cadillac WWTP Emails about meeting 8-29-13.pdf,,Compliance / Enforcement,High,Conversion - Compliance Action; Legacy permit version MI0020257 v5.0,Conversion - Compliance Action,WRD - NPDES,Permit,MI0020257 v5.0,NPDES Individual Permit,-1880339282009717938,https://mienviro.michigan.gov/ncore/downloadpdf/-1880339282009717938,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2013-11-19,2013,Compliance Communication.doc,Compliance Communication,Compliance / Enforcement,High,Conversion - Eval; Evaluation E-CF37-78-F1CD,Conversion - Eval,WRD - NPDES,Evaluation,E-CF37-78-F1CD,NPDES Compliance Evaluation Inspection (CEI) (09/30/2013),8202189061190805836,https://mienviro.michigan.gov/ncore/downloadpdf/8202189061190805836,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-03-31,2014,Cadillac PMP.pdf,,Permit / Application,Medium,Conversion - Permit,Conversion - Permit,WRD - NPDES,Application/Request,ce_soc_detail-47836,Schedule - Pollutant Minimization Program (PMP) Annual Report,8183547368058181207,https://mienviro.michigan.gov/ncore/downloadpdf/8183547368058181207,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-07-07,2014,RMP Modification Request-July 2014.pdf,to Surface apply,Biosolids / Land Application,Medium,Site 15637 / Site record,NPDES Biosolids Site Docs,,Site,15637,Site,1301191744469019931,https://mienviro.michigan.gov/ncore/downloadpdf/1301191744469019931,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-07-10,2014,RMP Modification Approval Letter-2014.pdf,Surface apply with conditions,Biosolids / Land Application,Medium,Site 15637 / Site record,NPDES Biosolids Site Docs,,Site,15637,Site,396256187984330582,https://mienviro.michigan.gov/ncore/downloadpdf/396256187984330582,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-08-04,2014,Sampling Field Sheet.doc,Sampling Field Sheet,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),8152724494912613868,https://mienviro.michigan.gov/ncore/downloadpdf/8152724494912613868,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-08-18,2014,2014_0818_Cadillac WWTP_DMR QA-34.pdf,District Scanned,Site / Miscellaneous,Routine,Site 15637 / Site record; District scanned composite,NPDES Misc. Site Docs,,Site,15637,Site,2417529640713035099,https://mienviro.michigan.gov/ncore/downloadpdf/2417529640713035099,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-09-03,2014,Cadillac surface application 2014-2.jpg,,Biosolids / Land Application,Medium,Conversion - Application / Request; Evaluation E-8B5C-16-97FE,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),6169276037386673226,https://mienviro.michigan.gov/ncore/downloadpdf/6169276037386673226,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-09-03,2014,Cadillac surface application 2014.jpg,,Biosolids / Land Application,Medium,Conversion - Application / Request; Evaluation E-8B5C-16-97FE,Conversion - Application / Request,WRD - NPDES,Evaluation,E-8B5C-16-97FE,Biosolids Site Inspection (08/14/2014),-5654449704836290694,https://mienviro.michigan.gov/ncore/downloadpdf/-5654449704836290694,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
2014-10-09,2014,DEQ Test Data Evaluation Form.doc,DEQ Test Data Evaluation Form,Inspection / Evaluation,High,Conversion - Eval; Evaluation E-832F-E9-D657,Conversion - Eval,WRD - NPDES,Evaluation,E-832F-E9-D657,NPDES CSI-Toxics (10/14/2014),6466431524347949415,https://mienviro.michigan.gov/ncore/downloadpdf/6466431524347949415,Indexed in MiEnviro master record; substantive review/copy recovery status not yet independently verified
